team,season,receiving_td,touchdown,extra_point_attempt,field_goal_attempt,pass_td,run_td
JAX,2012,25,33,18,25,25,5
JAX,2013,20,27,22,23,20,7
JAX,2014,20,30,23,20,20,9
JAX,2015,39,47,32,26,39,8
JAX,2016,27,37,29,27,27,8
JAX,2017,22,41,37,30,22,18
JAX,2018,16,23,22,23,16,7
JAX,2019,26,29,19,33,26,3
JAX,2020,25,34,24,18,25,9
JAX,2021,14,30,18,21,14,14
JAX,2022,25,41,36,30,25,16
JAX,2023,23,40,35,30,23,17
KC,2012,13,24,17,28,13,9
KC,2013,24,44,52,22,24,17
KC,2014,19,38,38,25,19,18
KC,2015,21,41,39,30,21,20
KC,2016,20,36,36,31,20,15
KC,2017,26,39,40,41,26,13
KC,2018,52,68,65,24,52,16
KC,2019,30,48,45,34,30,17
KC,2020,40,54,48,25,40,13
KC,2021,38,54,50,28,38,16
KC,2022,41,59,50,24,41,18
KC,2023,30,40,38,33,30,10
LA,2012,25,30,26,23,25,5
LA,2013,27,37,34,26,27,10
LA,2014,28,40,34,24,28,11
LA,2015,14,31,27,21,14,16
LA,2016,20,29,23,19,20,9
LA,2017,29,48,48,40,29,18
LA,2018,33,56,51,34,33,23
LA,2019,26,47,42,24,26,20
LA,2020,22,43,38,24,22,20
LA,2021,45,56,48,32,45,11
LA,2022,19,35,31,28,19,15
LA,2023,27,47,32,32,27,18
LAC,2012,29,35,39,25,29,4
LAC,2013,34,44,42,35,34,10
LAC,2014,33,39,40,22,33,6
LAC,2015,35,39,28,26,35,4
LAC,2016,37,48,42,26,37,10
LAC,2017,29,40,37,20,29,11
LAC,2018,34,52,36,24,34,16
LAC,2019,26,39,35,26,26,13
LAC,2020,31,46,36,25,31,12
LAC,2021,41,60,40,24,41,18
LAC,2022,27,42,40,31,27,15
LAC,2023,27,38,35,31,27,11
LV,2012,26,30,25,31,26,4
LV,2013,20,39,37,21,20,16
LV,2014,25,31,28,19,25,5
LV,2015,37,44,38,21,37,7
LV,2016,29,47,37,29,29,17
LV,2017,26,39,33,16,26,13
LV,2018,22,32,27,27,22,9
LV,2019,25,38,34,19,25,13
LV,2020,31,51,45,33,31,20
LV,2021,25,40,30,40,25,15
LV,2022,31,43,35,34,31,12
LV,2023,21,32,32,26,21,11
MIA,2012,15,32,29,23,15,15
MIA,2013,26,34,33,26,26,8
MIA,2014,27,40,41,30,27,12
MIA,2015,26,37,33,13,26,11
MIA,2016,28,43,41,16,28,14
MIA,2017,27,32,26,21,27,4
MIA,2018,29,37,35,18,29,7
MIA,2019,24,35,29,23,24,10
MIA,2020,25,42,36,36,25,15
MIA,2021,22,34,34,23,22,12
MIA,2022,32,45,41,26,32,13
MIA,2023,34,62,58,24,34,27
MIN,2012,19,36,36,35,19,16
MIN,2013,22,48,43,26,22,23
MIN,2014,19,32,29,27,19,12
MIN,2015,14,34,33,34,14,18
MIN,2016,20,30,26,27,20,9
MIN,2017,25,41,34,32,25,15
MIN,2018,35,45,36,22,35,9
MIN,2019,26,45,40,27,26,19
MIN,2020,37,58,37,15,37,21
MIN,2021,34,48,36,33,34,10
MIN,2022,32,52,40,26,32,18
MIN,2023,31,38,36,24,31,7
NE,2012,35,61,66,29,35,25
NE,2013,26,47,44,38,26,21
NE,2014,36,49,51,35,36,13
NE,2015,38,54,52,33,38,14
NE,2016,32,51,46,27,32,19
NE,2017,34,52,45,37,34,17
NE,2018,29,48,49,27,29,18
NE,2019,29,46,39,27,29,17
NE,2020,14,34,30,26,14,20
NE,2021,28,53,42,36,28,24
NE,2022,20,33,32,32,20,13
NE,2023,21,31,24,16,21,9
NO,2012,46,56,57,18,46,10
NO,2013,41,51,48,24,41,10
NO,2014,37,53,46,19,37,16
