team,season,yps,yards_gained,air_yards,passing_yards,receiving_yards,yards_after_catch,rushing_yards
DEN,2012,10.39,11065,4885,4671,4664,1875,1865
DEN,2013,11.41,12913,5263,5572,5572,2652,1897
DEN,2014,10.75,11249,5121,4779,4779,1912,1805
DEN,2015,9.47,9913,5534,4216,4216,1852,1727
DEN,2016,9.04,9103,5004,3914,3914,1576,1502
DEN,2017,8.3,8869,4749,3668,3668,1627,1864
DEN,2018,9.47,9539,4396,3930,3928,1806,1916
DEN,2019,8.68,8192,3522,3401,3401,1701,1674
DEN,2020,8.88,9063,5023,3673,3673,1628,1935
DEN,2021,9.19,9482,4562,3856,3856,1734,2031
DEN,2022,8.92,9545,4998,4007,4007,1987,1944
DEN,2023,8.65,8667,3753,3566,3566,2067,1831
DET,2012,10.14,11685,6458,5139,5139,2095,1617
DET,2013,10.02,10943,5240,4650,4650,2270,1807
DET,2014,9.51,9756,4819,4284,4284,2236,1440
DET,2015,9.82,10026,4132,4463,4463,2495,1351
DET,2016,10.04,9759,4421,4327,4327,2227,1319
DET,2017,10.13,9887,4561,4470,4470,2123,1230
DET,2018,8.96,9090,3978,3844,3844,2059,1670
DET,2019,9.64,9745,5458,4187,4187,1514,1658
DET,2020,10.19,10011,4985,4397,4397,1884,1506
DET,2021,8.87,9369,3785,3884,3874,2081,1887
DET,2022,10.09,10912,4135,4444,4430,2271,2193
DET,2023,10.15,11342,4086,4606,4606,2156,2331
GB,2012,9.86,10115,4516,4342,4342,2086,1722
GB,2013,10.33,10957,4343,4538,4538,2232,2151
GB,2014,10.84,10649,4325,4447,4447,2092,1941
GB,2015,8.82,9224,4633,3825,3853,1980,1865
GB,2016,10.23,10368,5386,4445,4445,2043,1720
GB,2017,8.49,8433,4081,3532,3532,1909,1732
GB,2018,10.33,10546,5668,4629,4629,2197,1673
GB,2019,9.59,9577,5016,4017,4017,2034,1821
GB,2020,10.89,10544,4135,4299,4299,2248,2135
GB,2021,10.23,10763,4572,4526,4526,2422,1920
GB,2022,9.33,9662,4478,3890,3896,2016,2130
GB,2023,9.7,10101,4941,4210,4210,1925,1919
HOU,2012,9.34,10020,4415,4046,4046,1787,2144
HOU,2013,8.97,9742,5156,4183,4183,1652,1744
HOU,2014,8.64,8994,3988,3460,3460,1543,2182
HOU,2015,8.73,9671,5939,4079,4079,1356,1755
HOU,2016,8.04,8485,4974,3418,3432,1388,1874
HOU,2017,8.56,8769,5204,3644,3644,1410,1845
HOU,2018,9.73,9977,4336,4165,4165,1753,2031
HOU,2019,9.84,9888,4742,4083,4083,1808,2020
HOU,2020,11.63,10837,4862,4843,4821,1956,1476
HOU,2021,8.32,8365,3997,3630,3630,1723,1426
HOU,2022,8.38,8473,4358,3642,3642,1842,1485
HOU,2023,9.65,10404,5180,4578,4578,1982,1641
IND,2012,9.4,10190,6385,4374,4374,1656,1686
IND,2013,9.33,9443,4739,3952,3952,1986,1758
IND,2014,10.66,11586,5805,5062,5062,2391,1630
IND,2015,8.8,9093,5285,3928,3928,1647,1459
IND,2016,10.16,10346,4849,4491,4494,1803,1646
IND,2017,7.93,7790,3678,3226,3226,1646,1672
IND,2018,10.3,10805,4856,4595,4595,1976,1741
IND,2019,8.56,8570,4125,3314,3314,1676,2144
IND,2020,10.15,10257,3961,4186,4186,2249,2014
IND,2021,9.1,9497,4006,3588,3578,1647,2554
IND,2022,8.33,9163,3837,3855,3854,1791,1874
IND,2023,8.86,9630,4255,3882,3882,1863,2074
JAX,2012,8.61,8545,4996,3746,3746,1544,1374
JAX,2013,8.3,8455,3911,3751,3751,2078,1263
JAX,2014,8.19,8090,4046,3451,3451,1866,1636
JAX,2015,9.94,10017,5586,4428,4428,1841,1479
JAX,2016,8.87,9295,5155,3925,3925,1848,1638
JAX,2017,8.99,9593,4058,3716,3716,1932,2278
JAX,2018,8.25,8261,3777,3431,3423,1825,1729
JAX,2019,9.36,9510,4470,4023,4022,1892,1720
JAX,2020,9.17,9183,4847,3955,3955,1707,1523
JAX,2021,8.67,8878,4759,3674,3674,1639,1764
JAX,2022,9.61,10247,4353,4148,4151,2040,2129
JAX,2023,9.23,10174,4981,4377,4377,1945,1665
KC,2012,8.02,8050,3919,2937,2937,1261,2400
KC,2013,8.92,8973,3555,3561,3561,1904,2072
KC,2014,8.93,8533,2898,3428,3428,1894,1923
KC,2015,9.32,8810,3167,3493,3493,1936,2058
KC,2016,9.72,9437,3732,3914,3925,2076,1768
KC,2017,10.59,10345,4202,4326,4326,2134,1883
KC,2018,12.13,11950,5273,5126,5126,2628,1867
KC,2019,11.19,10752,4915,4690,4667,2211,1585
KC,2020,11.21,11684,5096,5005,5005,2455,1807
KC,2021,10.48,11696,4961,4937,4928,2719,1975
KC,2022,11.34,12301,4712,5250,5250,2827,1983
KC,2023,9.83,10375,4095,4383,4376,2673,1810
LA,2012,9.18,9065,4584,3783,3779,1540,1726
LA,2013,8.63,8257,3976,3360,3360,1645,1766
LA,2014,9.23,8742,4232,3695,3695,1729,1645
LA,2015,8.51,7708,3807,2931,2931,1565,1970
LA,2016,7.92,7526,3907,3313,3313,1624,1262
LA,2017,10.04,9826,4054,4023,4019,2099,1976
LA,2018,11.03,11505,4906,4730,4730,2165,2258
LA,2019,10.21,10682,4869,4669,4669,2270,1512
LA,2020,9.56,10230,3937,4183,4179,2241,2035
LA,2021,10.77,11241,5134,4893,4893,2137,1702
LA,2022,8.4,8290,3712,3506,3506,1794,1676
LA,2023,9.56,10425,4507,4300,4298,2044,2056
LAC,2012,8.56,8371,3967,3606,3606,1796,1470
LAC,2013,10.26,10804,4218,4478,4505,2104,1971
LAC,2014,9.72,9764,4901,4296,4296,1927,1370
LAC,2015,9.87,10817,4838,4855,4855,2622,1367
LAC,2016,10.0,10100,4913,4386,4386,2020,1516
LAC,2017,10.57,10597,4780,4551,4551,2150,1615
LAC,2018,10.97,10304,3959,4316,4316,2130,1887
LAC,2019,10.67,10536,5079,4648,4648,2173,1460
LAC,2020,9.56,10674,4723,4548,4548,2299,1793
LAC,2021,10.4,11677,5093,5014,5014,2392,1849
LAC,2022,9.59,10907,4521,4791,4777,2538,1542
LAC,2023,9.04,9909,4733,4312,4295,2160,1658
LV,2012,9.54,9803,5300,4292,4292,2027,1423
LV,2013,9.05,8971,4185,3629,3623,1723,2008
LV,2014,8.11,7976,4949,3456,3456,1544,1245
LV,2015,9.51,9491,4743,4129,4141,1861,1469
LV,2016,9.82,10149,4594,4137,4137,1885,1953
LV,2017,9.5,8966,4655,3761,3767,1692,1564
LV,2018,9.66,9450,3785,4057,4057,1995,1640
LV,2019,10.12,9927,3468,4110,4101,2144,1900
LV,2020,10.28,10528,4491,4383,4383,2056,1926
LV,2021,10.26,11002,5115,4808,4808,2291,1627
LV,2022,9.71,10179,5359,4182,4182,1780,2061
LV,2023,8.63,8604,4283,3666,3661,1606,1559
MIA,2012,8.77,8430,4341,3425,3425,1271,1819
MIA,2013,9.08,8980,5690,3966,3966,1535,1447
MIA,2014,9.43,9680,4616,4066,4064,1874,1885
MIA,2015,9.87,9552,5154,4231,4231,1876,1506
MIA,2016,9.99,9047,3804,3716,3716,1796,1829
MIA,2017,8.83,8724,4884,3792,3792,1681,1395
MIA,2018,9.13,7905,3699,3309,3254,1722,1749
MIA,2019,8.97,9095,5463,4117,4117,1581,1168
MIA,2020,9.3,9385,4264,3937,3937,1654,1704
MIA,2021,8.45,9170,4473,3936,3936,1725,1579
MIA,2022,11.02,10969,5320,4765,4765,1789,1693
MIA,2023,11.14,11539,4306,4698,4698,2227,2327
MIN,2012,8.44,8343,3344,2935,2935,1610,2653
MIN,2013,9.11,9161,4720,3645,3645,1584,2089
MIN,2014,8.93,8633,3943,3566,3566,1836,1819
MIN,2015,8.75,8405,3273,3246,3246,1808,2229
MIN,2016,9.23,9179,3874,4119,4119,2030,1222
MIN,2017,9.35,9669,4006,3929,3929,1979,1983
MIN,2018,9.88,9842,4396,4298,4298,1947,1499
MIN,2019,9.8,9396,3535,3729,3725,1851,2146
MIN,2020,10.33,10579,4103,4265,4265,1936,2291
MIN,2021,9.88,10635,4844,4450,4450,1936,1945
MIN,2022,9.85,10972,5015,4818,4808,2102,1674
MIN,2023,9.99,10624,4929,4700,4700,1926,1563
NE,2012,9.91,11699,5531,4844,4844,2237,2193
NE,2013,9.39,10518,5288,4343,4343,2014,2084
NE,2014,9.63,10164,4869,4291,4291,1981,1752
NE,2015,10.52,10824,4935,4812,4812,2444,1425
NE,2016,10.28,10656,4262,4456,4456,2306,1892
NE,2017,10.35,10944,5356,4619,4619,1950,1903
NE,2018,10.19,10718,4489,4405,4405,2176,2055
NE,2019,9.09,9835,4651,4153,4153,1933,1717
NE,2020,8.65,8374,2995,3124,3124,1534,2358
NE,2021,9.78,10140,4288,4098,4098,1940,2179
NE,2022,9.34,9205,4111,3815,3815,1837,1872
NE,2023,7.96,8092,4094,3392,3389,1845,1634
NO,2012,11.19,11776,5473,5187,5187,2163,1590
NO,2013,10.95,11576,5206,5162,5162,2435,1496
NO,2014,10.68,11543,5039,4952,4952,2173,1827
NO,2015,10.8,11684,5208,5205,5205,2538,1507
