team,season,total_points,td_points,xp_points,fg_points
LAC,2023,356,228,35,93
LV,2012,298,180,25,93
LV,2013,334,234,37,63
LV,2014,271,186,28,57
LV,2015,365,264,38,63
LV,2016,406,282,37,87
LV,2017,315,234,33,48
LV,2018,300,192,27,81
LV,2019,319,228,34,57
LV,2020,450,306,45,99
LV,2021,390,240,30,120
LV,2022,395,258,35,102
LV,2023,302,192,32,78
MIA,2012,290,192,29,69
MIA,2013,315,204,33,78
MIA,2014,371,240,41,90
MIA,2015,294,222,33,39
MIA,2016,347,258,41,48
MIA,2017,281,192,26,63
MIA,2018,311,222,35,54
MIA,2019,308,210,29,69
MIA,2020,396,252,36,108
MIA,2021,307,204,34,69
MIA,2022,389,270,41,78
MIA,2023,502,372,58,72
MIN,2012,357,216,36,105
MIN,2013,409,288,43,78
MIN,2014,302,192,29,81
MIN,2015,339,204,33,102
MIN,2016,287,180,26,81
MIN,2017,376,246,34,96
MIN,2018,372,270,36,66
MIN,2019,391,270,40,81
MIN,2020,430,348,37,45
MIN,2021,423,288,36,99
MIN,2022,430,312,40,78
MIN,2023,336,228,36,72
NE,2012,519,366,66,87
NE,2013,440,282,44,114
NE,2014,450,294,51,105
NE,2015,475,324,52,99
NE,2016,433,306,46,81
NE,2017,468,312,45,111
NE,2018,418,288,49,81
NE,2019,396,276,39,81
NE,2020,312,204,30,78
NE,2021,468,318,42,108
NE,2022,326,198,32,96
NE,2023,258,186,24,48
NO,2012,447,336,57,54
NO,2013,426,306,48,72
NO,2014,421,318,46,57
NO,2015,398,300,44,54
NO,2016,496,360,49,87
NO,2017,434,294,47,93
NO,2018,496,360,52,84
NO,2019,432,288,48,96
NO,2020,474,348,57,69
NO,2021,370,264,31,75
NO,2022,342,240,33,69
NO,2023,388,258,40,90
NYG,2012,427,282,46,99
NYG,2013,328,228,31,69
NYG,2014,404,288,44,72
NYG,2015,404,270,44,90
NYG,2016,292,198,31,63
NYG,2017,242,168,20,54
NYG,2018,349,222,31,96
NYG,2019,347,276,35,36
NYG,2020,270,156,21,93
NYG,2021,260,156,17,87
NYG,2022,347,228,32,87
NYG,2023,261,168,24,69
NYJ,2012,291,198,30,63
NYJ,2013,312,186,27,99
NYJ,2014,305,186,23,96
NYJ,2015,417,294,42,81
NYJ,2016,297,192,24,81
NYJ,2017,314,210,29,75
NYJ,2018,327,198,30,99
NYJ,2019,248,168,23,57
NYJ,2020,251,168,20,63
NYJ,2021,296,210,23,63
NYJ,2022,298,180,28,90
NYJ,2023,250,126,16,108
PHI,2012,322,216,25,81
PHI,2013,444,330,45,69
PHI,2014,444,294,54,96
PHI,2015,357,252,42,63
PHI,2016,345,210,30,105
PHI,2017,433,306,40,87
PHI,2018,363,252,33,78
PHI,2019,359,258,35,66
PHI,2020,306,240,24,42
PHI,2021,410,276,44,90
PHI,2022,479,360,53,66
PHI,2023,423,288,45,90
PIT,2012,358,240,34,84
PIT,2013,363,234,39,90
PIT,2014,396,264,45,87
PIT,2015,389,252,32,105
PIT,2016,391,282,37,72
PIT,2017,406,264,37,105
PIT,2018,410,318,44,48
PIT,2019,277,162,28,87
PIT,2020,398,288,41,69
PIT,2021,339,204,27,108
PIT,2022,302,174,26,102
PIT,2023,288,174,27,87
SEA,2012,400,282,46,72
SEA,2013,404,258,44,102
SEA,2014,386,252,41,93
SEA,2015,415,288,40,87
SEA,2016,344,216,29,99
SEA,2017,340,240,37,63
SEA,2018,432,318,48,66
SEA,2019,421,312,40,69
SEA,2020,457,336,49,72
SEA,2021,395,300,44,51
SEA,2022,407,264,41,102
SEA,2023,342,204,33,105
SF,2012,398,264,44,90
SF,2013,380,240,44,96
SF,2014,312,204,33,75
SF,2015,242,150,20,72
SF,2016,309,222,33,54
