team,season,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,wins,losses,ties
DET,2018,3,5,0,3,5,0,6,10,0
DET,2019,2,6,0,1,7,1,3,13,1
DET,2020,1,7,0,4,4,0,5,11,0
DET,2021,3,5,0,0,9,1,3,14,1
DET,2022,5,4,0,4,4,0,9,8,0
DET,2023,6,2,0,6,3,0,12,5,0
GB,2012,7,1,0,4,4,0,11,5,0
GB,2013,4,4,1,4,4,0,8,8,1
GB,2014,8,0,0,4,4,0,12,4,0
GB,2015,5,3,0,5,3,0,10,6,0
GB,2016,6,2,0,4,4,0,10,6,0
GB,2017,4,4,0,3,5,0,7,9,0
GB,2018,5,3,1,1,7,0,6,10,1
GB,2019,7,1,0,6,2,0,13,3,0
GB,2020,7,1,0,6,2,0,13,3,0
GB,2021,8,0,0,5,4,0,13,4,0
GB,2022,5,4,0,3,5,0,8,9,0
GB,2023,5,3,0,4,5,0,9,8,0
HOU,2012,6,2,0,6,2,0,12,4,0
HOU,2013,1,7,0,1,7,0,2,14,0
HOU,2014,5,3,0,4,4,0,9,7,0
HOU,2015,5,3,0,4,4,0,9,7,0
HOU,2016,7,1,0,2,6,0,9,7,0
HOU,2017,3,5,0,1,7,0,4,12,0
HOU,2018,6,2,0,5,3,0,11,5,0
HOU,2019,5,3,0,5,3,0,10,6,0
HOU,2020,2,6,0,2,6,0,4,12,0
HOU,2021,2,7,0,2,6,0,4,13,0
HOU,2022,0,8,1,3,6,0,3,14,1
HOU,2023,6,3,0,4,4,0,10,7,0
IND,2012,7,1,0,4,4,0,11,5,0
IND,2013,6,2,0,5,3,0,11,5,0
IND,2014,6,2,0,5,3,0,11,5,0
IND,2015,4,4,0,4,4,0,8,8,0
IND,2016,4,4,0,4,4,0,8,8,0
IND,2017,3,5,0,1,7,0,4,12,0
IND,2018,6,2,0,4,4,0,10,6,0
IND,2019,5,3,0,2,6,0,7,9,0
IND,2020,6,2,0,5,3,0,11,5,0
IND,2021,4,5,0,5,3,0,9,8,0
