player_id,season,total_yards,receiving_air_yards,yards_after_catch,rushing_yards,passing_yards,passing_air_yards,ypg
00-0025394,2012,2316.0,93.0,186.0,2099.0,0.0,0.0,144.75
00-0025394,2013,1437.0,14.0,157.0,1266.0,0.0,0.0,102.64
00-0025394,2014,93.0,-7.0,20.0,75.0,0.0,0.0,93.0
00-0025394,2015,1707.0,-11.0,259.0,1485.0,0.0,0.0,106.69
00-0025394,2016,80.0,2.0,11.0,72.0,0.0,0.0,26.67
00-0025394,2017,599.0,35.0,55.0,529.0,0.0,0.0,99.83
00-0025394,2018,1250.0,9.0,201.0,1042.0,0.0,0.0,78.12
00-0025394,2019,1040.0,-43.0,161.0,898.0,0.0,0.0,69.33
00-0025394,2020,705.0,-6.0,103.0,604.0,0.0,0.0,44.06
00-0025394,2021,106.0,-11.0,19.0,98.0,0.0,0.0,35.33
00-0025637,2012,1260.0,-38.0,273.0,1015.0,0.0,0.0,90.0
00-0025637,2013,228.0,-1.0,39.0,186.0,0.0,0.0,76.0
00-0025637,2014,725.0,-18.0,333.0,425.0,0.0,0.0,72.5
00-0025637,2015,149.0,11.0,54.0,85.0,0.0,0.0,24.83
00-0038579,2023,2062.0,0.0,0.0,17.0,2045.0,2561.0,187.45
00-0031743,2015,135.0,5.0,49.0,96.0,0.0,0.0,19.29
00-0031743,2016,138.0,-10.0,37.0,109.0,0.0,0.0,23.0
00-0031743,2017,54.0,-8.0,45.0,23.0,0.0,0.0,7.71
00-0032745,2017,58.0,41.0,25.0,0.0,0.0,0.0,11.6
00-0032745,2018,9.0,12.0,7.0,0.0,0.0,0.0,2.25
00-0036423,2020,121.0,116.0,73.0,0.0,0.0,0.0,30.25
00-0036423,2021,330.0,226.0,245.0,0.0,0.0,0.0,25.38
00-0036423,2022,95.0,99.0,59.0,0.0,0.0,0.0,15.83
00-0036423,2023,0.0,10.0,0.0,0.0,0.0,0.0,0.0
00-0030669,2014,260.0,264.0,119.0,0.0,0.0,0.0,37.14
00-0030669,2015,477.0,581.0,219.0,26.0,0.0,0.0,34.07
00-0030669,2016,318.0,361.0,168.0,50.0,0.0,0.0,22.71
00-0030669,2017,560.0,377.0,318.0,6.0,0.0,0.0,43.08
00-0030669,2018,459.0,246.0,335.0,16.0,52.0,19.0,65.57
00-0030669,2019,406.0,327.0,179.0,45.0,10.0,20.0,31.23
00-0030669,2021,229.0,210.0,143.0,17.0,-1.0,5.0,22.9
00-0028116,2012,251.0,407.0,62.0,14.0,0.0,0.0,27.89
00-0028116,2013,361.0,862.0,86.0,-4.0,0.0,0.0,27.77
00-0028116,2014,6.0,40.0,8.0,0.0,0.0,0.0,3.0
00-0028116,2016,323.0,399.0,76.0,0.0,0.0,0.0,24.85
00-0028116,2017,260.0,524.0,45.0,0.0,0.0,0.0,18.57
00-0028116,2018,231.0,601.0,42.0,0.0,0.0,0.0,16.5
00-0037664,2022,593.0,914.0,113.0,0.0,0.0,0.0,37.06
00-0037664,2023,514.0,977.0,97.0,0.0,0.0,0.0,30.24
00-0033296,2018,20.0,0.0,5.0,15.0,0.0,0.0,2.5
00-0033296,2020,27.0,2.0,20.0,9.0,0.0,0.0,2.25
00-0033296,2021,22.0,0.0,1.0,21.0,0.0,0.0,4.4
00-0033296,2023,13.0,-14.0,27.0,0.0,0.0,0.0,4.33
00-0032426,2016,209.0,3.0,81.0,125.0,0.0,0.0,23.22
00-0032426,2017,1160.0,-3.0,190.0,973.0,0.0,0.0,77.33
00-0032426,2018,516.0,27.0,97.0,411.0,0.0,0.0,51.6
00-0032426,2021,498.0,2.0,96.0,411.0,0.0,0.0,45.27
00-0032864,2016,11.0,11.0,4.0,0.0,0.0,0.0,3.67
