player_id,season,team,position
00-0033906,2017,NO,RB
00-0033906,2018,NO,RB
00-0033906,2019,NO,RB
00-0033906,2020,NO,RB
00-0033906,2021,NO,RB
00-0033906,2022,NO,RB
00-0033906,2023,NO,RB
00-0033937,2017,SEA,WR
00-0031544,2018,DAL,WR
00-0031544,2019,DAL,WR
00-0031544,2020,DAL,WR
00-0031544,2021,DAL,WR
00-0031544,2022,CLE,WR
00-0031544,2023,CLE,WR
00-0036991,2021,GB,WR
00-0036991,2022,GB,WR
00-0036991,2023,IND,WR
00-0032104,2015,DET,RB
00-0032104,2016,DET,RB
00-0032104,2017,DET,RB
00-0032104,2018,DET,RB
00-0032104,2019,MIN,RB
00-0032104,2020,MIN,RB
00-0032104,2021,CAR,RB
00-0032104,2022,LV,RB
00-0032104,2023,LV,RB
00-0036963,2021,DET,WR
00-0036963,2022,DET,WR
00-0036963,2023,DET,WR
00-0027094,2012,NYG,RB
00-0027094,2013,NYG,RB
00-0026237,2012,DEN,WR
00-0026237,2013,DEN,WR
00-0026237,2014,DEN,WR
00-0026237,2015,DEN,WR
00-0030287,2013,ARI,RB
00-0030287,2014,ARI,RB
00-0030287,2015,ARI,RB
00-0030287,2016,ARI,RB
00-0030287,2017,ARI,RB
00-0028263,2012,DAL,WR
00-0028263,2017,BUF,WR
00-0028263,2018,BUF,WR
00-0022044,2012,HOU,WR
00-0022044,2013,HOU,WR
00-0022044,2014,HOU,WR
00-0022044,2015,IND,WR
00-0022044,2016,TEN,WR
00-0033705,2019,LAC,WR
00-0027691,2012,ARI,WR
00-0027691,2013,ARI,WR
00-0027691,2014,WAS,WR
00-0027691,2015,WAS,WR
00-0027691,2016,DET,WR
00-0027691,2017,ATL,WR
00-0027691,2018,NYJ,WR
00-0027691,2019,BUF,WR
00-0027691,2020,BUF,WR
00-0027691,2021,LAC,WR
00-0031055,2014,NYG,RB
00-0031055,2015,NYG,RB
00-0031055,2017,LAC,RB
00-0038619,2023,CIN,WR
00-0029668,2012,IND,QB
00-0029668,2013,IND,QB
00-0029668,2014,IND,QB
00-0029668,2015,IND,QB
00-0029668,2016,IND,QB
00-0029668,2018,IND,QB
00-0037292,2023,IND,TE
00-0027973,2012,CIN,QB
00-0027973,2013,CIN,QB
00-0027973,2014,CIN,QB
00-0027973,2015,CIN,QB
00-0027973,2016,CIN,QB
00-0027973,2017,CIN,QB
00-0027973,2018,CIN,QB
00-0027973,2019,CIN,QB
00-0027973,2020,DAL,QB
00-0027973,2021,CHI,QB
00-0027973,2022,NO,QB
00-0027973,2023,CAR,QB
00-0035527,2019,ARI,WR
00-0035527,2020,ARI,WR
00-0035527,2021,ARI,WR
00-0035527,2022,ARI,WR
00-0032707,2018,DET,WR
00-0022084,2012,BAL,WR
00-0022084,2013,SF,WR
00-0022084,2014,SF,WR
00-0022084,2015,SF,WR
00-0022084,2016,DET,WR
00-0028163,2012,BAL,RB
00-0026465,2012,MIA,WR
00-0037175,2022,BAL,QB
00-0027772,2012,SF,RB
00-0027772,2013,SF,RB
00-0027772,2014,BUF,RB
00-0027772,2015,BUF,RB
00-0024268,2012,MIA,TE
00-0024268,2013,KC,TE
00-0024268,2014,KC,TE
00-0024268,2015,TEN,TE
00-0024268,2016,TEN,TE
00-0024268,2017,MIA,TE
00-0033455,2018,TEN,TE
00-0033455,2019,TEN,TE
00-0033455,2020,TEN,TE
00-0033455,2021,TEN,TE
00-0033455,2022,ATL,TE
00-0036336,2020,PIT,RB
00-0036336,2021,PIT,RB
00-0036336,2023,PIT,RB
00-0034353,2018,CHI,WR
00-0034353,2019,CHI,WR
00-0034353,2020,CHI,WR
00-0034353,2021,HOU,WR
00-0039164,2023,IND,QB
00-0036999,2021,CLE,WR
00-0036999,2022,CLE,WR
00-0028074,2020,KC,RB
00-0038627,2023,DET,WR
00-0035126,2021,ARI,WR
00-0026855,2012,ATL,RB
00-0026855,2013,ATL,RB
00-0026855,2014,ATL,RB
00-0026855,2015,CHI,RB
00-0026855,2016,TB,RB
00-0030789,2014,TEN,RB
00-0030789,2015,TEN,RB
00-0030789,2016,TEN,RB
00-0027793,2012,PIT,WR
00-0027793,2013,PIT,WR
00-0027793,2014,PIT,WR
00-0027793,2015,PIT,WR
00-0027793,2016,PIT,WR
00-0027793,2017,PIT,WR
00-0027793,2018,PIT,WR
00-0027793,2019,NE,WR
00-0027793,2020,TB,WR
00-0027793,2021,TB,WR
00-0034772,2018,CLE,WR
00-0034772,2019,CLE,WR
00-0034772,2020,MIA,WR
00-0036340,2020,WAS,WR
00-0021547,2017,LAC,TE
00-0021547,2018,LAC,TE
00-0036328,2020,WAS,RB
00-0036328,2021,WAS,RB
00-0036328,2022,WAS,RB
00-0036328,2023,WAS,RB
00-0036188,2020,BUF,RB
00-0033421,2017,TB,TE
00-0033421,2018,TB,TE
00-0033421,2019,TB,TE
00-0033421,2020,TB,TE
00-0033421,2021,HOU,TE
00-0033916,2017,NYJ,WR
00-0026796,2012,HOU,RB
00-0026796,2013,HOU,RB
00-0026796,2014,HOU,RB
00-0026796,2015,HOU,RB
00-0026796,2016,MIA,RB
00-0028565,2012,CHI,RB
00-0037168,2022,WAS,TE
00-0028400,2012,CIN,WR
00-0027654,2012,TB,WR
00-0027654,2016,JAX,WR
00-0027654,2017,JAX,WR
00-0036208,2020,CHI,RB
00-0035021,2019,IND,WR
00-0035021,2020,IND,WR
00-0035021,2021,IND,WR
00-0035021,2022,IND,WR
00-0034686,2018,CIN,WR
00-0034686,2019,CIN,WR
00-0034686,2020,CIN,WR
00-0034686,2021,CIN,WR
00-0033382,2018,NO,WR
00-0033382,2019,NO,WR
00-0033382,2020,NO,WR
00-0027092,2012,IND,WR
00-0027092,2013,NE,WR
00-0028957,2015,CLE,QB
00-0033699,2017,LAC,RB
00-0033699,2018,LAC,RB
00-0033699,2019,LAC,RB
00-0033699,2020,LAC,RB
00-0033699,2021,LAC,RB
00-0033699,2022,LAC,RB
00-0033699,2023,LAC,RB
00-0032392,2016,ATL,TE
00-0032392,2017,ATL,TE
00-0032392,2018,ATL,TE
00-0032392,2019,ATL,TE
00-0032392,2020,CLE,TE
00-0032392,2021,CLE,TE
00-0032392,2022,TEN,TE
00-0032392,2023,LV,TE
00-0035869,2020,NYG,WR
00-0031418,2014,TB,TE
00-0031418,2015,TB,TE
00-0031418,2016,NYJ,TE
00-0031418,2017,NYJ,TE
00-0031418,2018,JAX,TE
00-0036841,2022,LA,WR
00-0036841,2023,LA,WR
00-0033043,2017,DEN,TE
00-0035187,2020,SF,RB
00-0035187,2021,NYJ,RB
00-0036950,2022,ATL,RB
00-0038108,2022,NE,QB
00-0038108,2023,NE,QB
00-0034855,2018,CLE,QB
00-0034855,2019,CLE,QB
00-0034855,2020,CLE,QB
00-0034855,2021,CLE,QB
00-0034855,2022,CAR,QB
00-0034855,2023,TB,QB
00-0028170,2012,PIT,RB
00-0026931,2012,NYG,TE
00-0026931,2013,NYG,TE
00-0026931,2014,ATL,TE
00-0032661,2016,CHI,TE
00-0032661,2018,CHI,TE
00-0032661,2019,CHI,TE
00-0036384,2020,DAL,QB
00-0035823,2020,JAX,TE
00-0035823,2021,MIN,TE
00-0035823,2022,MIN,TE
00-0032139,2016,JAX,TE
00-0032139,2017,JAX,TE
00-0032139,2019,JAX,TE
00-0024463,2012,SEA,WR
00-0024463,2013,NYJ,WR
00-0022924,2012,PIT,QB
00-0022924,2013,PIT,QB
00-0022924,2014,PIT,QB
00-0022924,2015,PIT,QB
00-0022924,2016,PIT,QB
00-0022924,2017,PIT,QB
00-0022924,2018,PIT,QB
00-0022924,2019,PIT,QB
00-0022924,2020,PIT,QB
00-0022924,2021,PIT,QB
00-0038809,2023,GB,TE
00-0036862,2021,LA,WR
00-0036862,2022,LA,WR
00-0036862,2023,LA,WR
00-0027890,2012,HOU,RB
00-0027890,2013,HOU,RB
00-0027890,2014,CLE,RB
00-0025860,2012,CIN,RB
00-0025860,2013,CIN,RB
00-0022943,2012,CLE,TE
00-0022943,2013,NO,TE
00-0022943,2014,NO,TE
00-0022943,2015,NO,TE
00-0022943,2017,BAL,TE
00-0022943,2018,NO,TE
00-0022943,2019,NE,TE
00-0030670,2015,DEN,WR
00-0030670,2016,DEN,WR
00-0030670,2017,DEN,WR
00-0030670,2018,NYG,WR
00-0030670,2019,NYG,WR
00-0030670,2020,NO,WR
00-0029795,2016,LA,RB
00-0029795,2017,CHI,RB
00-0029795,2018,CHI,RB
00-0035217,2019,PIT,RB
00-0035217,2020,PIT,RB
00-0035217,2021,PIT,RB
00-0035217,2022,PIT,RB
00-0029264,2012,BAL,RB
00-0029264,2013,BAL,RB
00-0029264,2014,BAL,RB
00-0029264,2015,JAX,RB
00-0030743,2017,TB,WR
00-0026941,2012,CIN,RB
00-0026941,2013,BAL,RB
00-0038542,2023,ATL,RB
00-0028064,2012,NYJ,RB
00-0028064,2013,NYJ,RB
00-0028064,2014,NYJ,RB
00-0028064,2015,NYJ,RB
00-0028064,2016,NYJ,RB
00-0028064,2017,NYJ,RB
00-0028064,2018,NYJ,RB
00-0028064,2019,NYJ,RB
00-0031413,2014,TEN,RB
00-0031413,2015,TEN,RB
00-0027948,2012,JAX,QB
00-0027948,2013,JAX,QB
00-0027948,2014,SF,QB
00-0027948,2015,SF,QB
00-0027948,2016,SF,QB
00-0027948,2017,ARI,QB
00-0027948,2018,TEN,QB
00-0027948,2020,TB,QB
00-0027948,2021,TB,QB
00-0027948,2022,TB,QB
00-0027948,2023,KC,QB
00-0032062,2015,SF,TE
00-0032062,2016,SF,TE
00-0032062,2017,MIN,TE
00-0032062,2018,JAX,TE
00-0032062,2019,KC,TE
00-0032062,2020,DAL,TE
00-0032062,2021,KC,TE
00-0032062,2022,KC,TE
00-0032062,2023,KC,TE
00-0031407,2014,JAX,QB
00-0031407,2015,JAX,QB
00-0031407,2016,JAX,QB
00-0031407,2017,JAX,QB
00-0031407,2018,JAX,QB
00-0031407,2019,LA,QB
00-0033658,2018,DAL,TE
00-0033658,2019,DAL,TE
00-0033658,2020,DAL,TE
00-0033658,2021,DAL,TE
00-0037091,2023,GB,WR
00-0034432,2019,DET,RB
00-0033434,2017,TB,WR
00-0033434,2018,TB,WR
00-0033434,2019,TB,WR
00-0034414,2019,PHI,RB
00-0034414,2020,PHI,RB
00-0034414,2021,PHI,RB
00-0034414,2022,PHI,RB
00-0034414,2023,PHI,RB
00-0024318,2012,BUF,WR
00-0024318,2013,PHI,WR
00-0024318,2014,PHI,WR
00-0031818,2016,LA,WR
00-0025409,2012,KC,QB
00-0032515,2016,NYJ,TE
00-0032482,2016,CHI,WR
00-0031277,2017,LAC,RB
00-0031236,2014,NO,WR
00-0031236,2015,NO,WR
00-0031236,2016,NO,WR
00-0031236,2017,NE,WR
00-0031236,2018,LA,WR
00-0031236,2019,LA,WR
00-0031236,2020,HOU,WR
00-0031236,2021,HOU,WR
00-0031236,2022,HOU,WR
00-0031236,2023,DAL,WR
00-0036261,2020,SF,WR
00-0036261,2021,SF,WR
00-0036261,2022,SF,WR
00-0036261,2023,SF,WR
00-0032434,2019,DEN,QB
00-0032434,2020,CIN,QB
00-0032434,2021,CIN,QB
00-0032434,2022,CIN,QB
00-0029239,2012,NE,RB
00-0029239,2013,NE,RB
00-0029239,2014,NE,RB
00-0029239,2015,NE,RB
00-0029239,2016,NE,RB
00-0029239,2017,NE,RB
00-0029239,2018,MIA,RB
00-0029239,2019,NE,RB
00-0029239,2021,NE,RB
00-0029239,2022,LV,RB
00-0029239,2023,LV,RB
00-0030801,2015,NO,WR
00-0030801,2016,NO,WR
00-0030801,2017,NO,WR
00-0026937,2013,MIA,WR
00-0026937,2014,MIA,WR
00-0025450,2012,CLE,RB
00-0023545,2012,SF,RB
00-0023545,2013,NYG,RB
00-0037382,2022,DEN,WR
00-0037382,2023,DEN,WR
00-0027681,2012,CAR,WR
00-0027681,2013,CAR,WR
00-0027681,2014,NE,WR
00-0027681,2015,NE,WR
00-0027681,2016,CIN,WR
00-0027681,2017,CIN,WR
00-0022097,2012,NE,WR
00-0022097,2014,SF,WR
00-0024334,2012,CHI,WR
00-0024334,2013,CHI,WR
00-0024334,2014,CHI,WR
00-0024334,2015,NYJ,WR
00-0024334,2016,NYJ,WR
00-0024334,2017,NYG,WR
00-0024334,2018,SEA,WR
00-0027135,2013,NYG,TE
00-0027135,2014,TB,TE
00-0027135,2015,TB,TE
00-0027135,2016,TB,TE
00-0026996,2012,DET,TE
00-0026996,2013,DET,TE
00-0026996,2014,DET,TE
00-0026996,2015,DET,TE
00-0034646,2018,DET,WR
00-0034646,2020,ATL,WR
00-0034646,2022,LA,WR
