team,season,receiving_td,touchdown,extra_point_attempt,field_goal_attempt,pass_td,run_td,yps,yards_gained,air_yards,passing_yards,receiving_yards,yards_after_catch,rushing_yards,pass_attempts,complete_pass,incomplete_pass,interception,receptions
CHI,2012,23,35,40,28,23,11,8.44,8287,4830,3298,3298,1231,1988,469,287,182,16,287
CHI,2013,39,52,45,26,39,13,10.54,10578,5030,4450,4450,1763,1837,562,373,189,13,373
CHI,2014,32,42,33,12,32,8,9.32,9291,4474,4035,4035,2161,1454,590,396,194,19,396
CHI,2015,25,39,28,33,25,13,9.17,9367,4327,3843,3843,1841,1860,510,334,176,12,334
CHI,2016,21,32,31,18,21,10,10.28,9850,5153,4139,4139,1654,1742,538,347,191,19,347
CHI,2017,14,29,26,16,14,14,8.27,7694,3487,3085,3086,1351,1795,460,291,169,12,291
CHI,2018,29,46,42,23,29,16,9.28,9275,4502,3747,3747,1586,1956,497,344,153,14,344
CHI,2019,20,29,27,23,20,8,8.23,8330,4537,3573,3573,1538,1464,565,371,194,12,371
CHI,2020,28,41,36,30,28,12,8.94,9242,4870,3925,3925,1720,1658,596,402,194,16,402
CHI,2021,18,33,27,26,18,14,8.32,8879,4485,3635,3635,1609,2028,519,332,187,20,332
CHI,2022,21,40,27,25,21,18,7.95,7834,3426,2598,2589,1141,3024,361,223,138,15,223
CHI,2023,23,40,31,35,23,16,8.21,8937,3775,3421,3421,1722,2418,498,321,177,15,321
CIN,2012,32,43,43,30,32,11,9.19,9147,4681,3807,3807,1695,1762,521,335,186,16,335
CIN,2013,35,51,52,18,35,15,9.49,10224,5023,4318,4318,2080,1770,566,364,202,20,364
CIN,2014,22,43,39,26,22,19,9.08,9136,3887,3551,3551,1812,2162,486,323,163,17,323
CIN,2015,33,52,48,23,33,19,9.97,9852,4432,4104,4104,1803,1823,496,334,162,9,334
CIN,2016,18,35,29,28,18,17,9.55,9925,4416,4206,4206,1820,1777,553,364,189,8,364
CIN,2017,26,33,32,18,26,6,8.68,7884,4169,3386,3378,1753,1384,497,304,193,12,304
CIN,2018,28,42,39,19,28,13,9.16,8549,4359,3569,3569,1648,1688,526,331,195,13,331
CIN,2019,23,33,24,27,23,9,8.85,9179,5022,3994,3994,1753,1529,593,356,237,16,356
CIN,2020,20,35,32,27,20,14,8.66,8917,4731,3793,3793,1788,1676,567,372,195,11,372
CIN,2021,38,55,47,29,38,17,10.57,10964,4395,4806,4806,2416,1753,538,384,154,14,384
CIN,2022,37,51,40,24,37,14,9.98,10318,4173,4520,4520,2147,1552,597,418,179,12,418
CIN,2023,28,40,40,26,28,12,9.4,9697,3878,4257,4257,2368,1543,600,420,180,14,420
CLE,2012,18,31,29,29,18,12,8.77,8694,4258,3668,3659,1859,1600,547,328,219,18,328
CLE,2013,29,34,33,21,29,4,9.15,9808,5651,4372,4372,1975,1387,659,379,280,20,379
CLE,2014,12,30,30,25,12,18,8.83,8877,5030,3678,3678,1544,1734,485,274,211,16,274
CLE,2015,22,29,22,29,22,5,9.12,9477,4871,4156,4156,1953,1535,596,371,225,12,371
